عيد	[Feast]
عيد الأضحى	[Feast of sacrifice]
عيد الفطر	[Aid Alfitr]
المولد النبوي	[Aid Almawlid/prophet's birthday]
رمضان	[Ramadan]
ليلة القدر	[Sacred Night of Ramadan/27th]
عاشوراء	[Achoura]
عقيقة	[Birth ceremony]
يوم بدر	[Battle of Badr]
ذكرى 11 يناير	[Manifesto of Independence]
ذكرى 20 غشت	[August 20th Anniversary]
عيد الشباب	[Youth Day]
حفل	[Party]
حفلة موسيقية	[Musical party]
ذكرى	[Memorial]
عيد العرش	[Feast of the Throne]
المسيرة الخضراء	[Green March]
حفل الولاء	[Allegiance party]
أب	[Father]
أم	[Mother]
والدين	[Parents]
زوج	[Husband]
زواج	[Marriage]
أخ	[Brother]
أخت	[Sister]
ابن	[Son]
ابن العم	[Cousin]
ساحر	[Wizard]
عجوز	[Old woman]
ولد	[Son]
بنت	[Girl]
خال	[Uncle]
خالة	[Aunt]
متسول	[Beggar]
متشرد	[Tramp/homeless]
جد	[Grandfather/grandpa]
رجل	[Man]
طفل	[Boy]
بيت	[House]
باب	[Door]
مفتاح	[Key]
أغلق	[Close]
آلة التصبين	[Washing machine]
ممر	[Pass/ alley]
أركان	[Headquarter]
أطفأ	[Extinguish]
طرق الباب	[Knock the door]
طنجرة الضغط	[Pressure cooker]
أمتعة	[Luggage]
إناء	[Plate]
تلفاز	[Television]
تلفاز بلازما	[Plasma/LCD TV]
ثلاجة	[Fridge]
تزيين - ديكور	[Decoration]
تلفاز بلازما	[Plasma/LCD TV]
ثلاجة	[Fridge]
ركن	[Corner]
سقف	[Ceiling]
حائط - جدار	[Wall]
صباح الخير	[Good morning]
أبلغ تحياتي	[My greetings]
كيف حالك	[How are you]
بخير	[Alright/fine]
جيد	[Good]
شكرا	[Thanks/thank you]
الحمد لله	[Thank God]
السلام عليكم	[Peace be upon you]
باختصار	[In brief]
بصحة جيدة	[In good health]
لا مبالي	[Careless]
أعطني	[Give me]
غاب عن ذهنه	[Forgot]
ما العمل	[So what]
سنرى	[Will see]
من هذا	[From this/that]
ماذا	[What]
هكذا	[Like this/that]
كم	[How much/many]
من الضروري	[Necessary]
بالضبط	[Exactly]
عاد - رجع	[Return/got back]
الذهاب والإياب	[Go back and forth]
توقف	[Stop]
زحف	[Crawl]
سكة حديدية	[Railway]
قارب	[Boat]
قاعة الحفلات	[Concert hall]
ماليزيا	[Malaysia]
محطة القطار	[Train station]
محطة الوقود	[Gaz station]
محل تجاري	[Commercial shop/store]
مرافق	[Companion]
مع	[With]
منارة	[Minaret]
موقف السيارات	[Parking]
سيارة بوجو	[Peugot car]
سيارة غولف	[Golf car]
تكلم	[Speak]
ناقش	[Discuss]
إشارة	[Sign]
أبجدية	[Alphabet]
آسف	[Sorry]
كلمة	[Word]
جملة	[Sentence]
شرح - فسر	[Explain]
صوت	[Voice]
أعلم	[Notify]
رسالة	[Letter]
سامح	[Forgive]
اتصل	[Call/contact]
اتصال هاتفي	[Phone call]
ارتبط	[Link]
كاميرا	[Camera]
لقاء	[Meeting]
بارابول	[Sattelite dish]
بريد إلكتروني	[E-mail]
سؤال	[Question]
جواب	[Answer]
أمر	[Order]
سافر	[Travel]
عطلة	[Holiday/vacation]
سياحة	[Tourism]
أجنبي	[Foreigner/outsider]
فندق - نزل	[Hotel]
بيانو	[Piano]
تأرجح	[Swinging]
تجول	[Walking]
تحفة فنية	[Antiquity]
رمي الجلة	[Discus/shot put]
رمي الرمح	[Javelin]
سباحة	[Swimming]
شاطئ	[Beach]
تمدد	[Lay down]
تنزه سيرا	[Walking]
غولف	[Golf]
فروسية	[Horse riding]
فولكلور	[Folklore]
فيلم	[Film/movie]
قفز	[Jump]
قلد	[Imitate]
رأس	[Head]
شعر	[Hair]
عين	[Eye]
أنف	[Nose]
أذن	[Ear]
فم	[Mouth]
أسنان	[Teeth]
وجه	[Face]
قياس الضغط	[Pressure gauge]
لسان	[Tongue]
عنق	[Neck]
حنجرة	[Throat]
جبهة	[Front]
بشرة	[Skin]
شارب	[Moustache]
مستشفى خاص	[Private hospital]
نزف	[Bleed]
مستعجلات	[Emergencies/casualty department]
حاجب	[Eyebrow]
ذقن	[Chin]
كتف	[Shoulder]
أمل	[Hope]
فجأة - فوجئ	[Suddenly]
اندهش	[Surprised]
قلق	[Worry]
بكى	[Cry]
رمز	[Symbol]
ضحك	[Laughter]
عشاق	[Lovers]
عناق	[Hug]
غاضب	[Angry]
اشمئزاز	[Disgusting]
كئيب - حزين	[Sad]
حزن	[Sadness]
فهم	[Understanding]
انزعاج	[Worry]
نسي	[Forgot]
إغراء	[Seduction/temtation]
أحب - عشق	[Love/adore]
كره - بغض	[Hatred]
صدق	[Truth]
مسرور - فرح	[Happy]
حيوان	[Animal]
ذيل - ذنب	[Tail]
كلب	[Dog]
قطة	[Cat]
الحمار الوحشي	[Zebra]
جرادة	[Jerrada]
أيل	[Deer]
سبات	[Sleeping/hibernation]
نعامة	[Ostrich]
عنكبوت	[Spider]
فرس النهر	[Hippopotamus]
قندس	[Beaver]
صقر	[Eagle]
عصفور	[Bird]
سمك الراية	[Stingray]
غراب	[Raven]
غزال	[Gazelle]
بطريق	[Penguin]
قصير	[Short]
سريع	[Quick/swift]
طويل	[Tall]
لغاية	[In order to]
زمن	[Time]
دقيق	[Flour]
فاتح محرم	[Moharrem]
فبراير	[February]
ماي	[May]
رأس السنة الميلادية	[New Year eve]
راهن	[Bet]
شتنبر	[September]
أكتوبر	[October]
غشت	[August]
نونبر	[November]
تقدم	[Progress]
لاحقا	[Later]
باكرا	[Early]
قبل	[Before]
حالا	[Now]
طريق	[Way/path]
جبل	[Mountain]
حجر	[Stone/rock]
تراب	[Soil]
ماء	[Water]
نبت	[Grow]
جزر	[Carrot]
جزيرة	[Island]
وردة	[Flower]
عاصفة	[Tempest]
ورقة نبات	[Leaf]
كسوف	[Eclipse]
نخلة	[Palm tree]
أمواج	[Waves]
برق - عاصفة	[Lightning]
بئر	[Pit]
برد	[Cold]
